ROT_i,ROT_j,a_ij
1a,1a,9.573930916547152
1a,1m,14.658602715278487
1a,1L,14.882714590159257
1a,&a,14.18853161359833
1a,7a,13.711663676882859
1a,3a,13.813074542929327
1a,9a,13.926461789995775
1a,1g,12.75559337920537
1a,7d,13.910013135071127
1a,3d,13.60549356230798
1a,5d,13.802649994212782
1a,1e,13.29197266025406
1a,1c,11.230880834221423
1a,1f,13.882091736661115
1a,5j,13.923450579000274
1a,1b,12.280554022039777
1a,1[,13.384186577586815
1a,3b,14.306613356084672
1a,1z,14.514475428747605
1a,5z,12.901553614172402
1a,7p,13.271346285591292
1a,1t,14.870622365533455
1a,5q,14.607276449620755
1a,1o,13.97308275797367
1a,7r,13.594355668701914
1a,2a,12.36092203096693
1a,4a,14.375917601374082
1a,0a,13.47897243321284
1a,#a,14.253783945266607
1a,4g,13.935110778457034
1a,6g,13.789135800314293
1a,8d,13.436740215873694
1a,4d,14.377678086519225
1a,6d,13.522673060463426
1a,2h,14.133242763784676
1a,4n,14.322094821027413
1a,0i,14.650802929398141
1a,6n,13.555923222743466
1a,6j,14.151764197251392
1a,2[,13.349045354356651
1a,4b,13.616848883718946
1a,0b,14.070948091505766
1a,4p,13.956660203617687
1a,6p,12.764023203105767
1a,4s,14.680314235103696
1a,2o,14.09661124301282
1m,1a,14.658602715278487
1m,1m,20.475668524942307
1m,1L,20.22241734369152
1m,&a,19.548725048274548
1m,7a,19.170236436944496
1m,3a,19.358770393619142
1m,9a,19.502563355760287
1m,1g,18.30605142972332
1m,7d,19.541104429854425
1m,3d,19.248847478234698
1m,5d,19.443052015030805
1m,1e,18.792099615808965
1m,1c,16.862634778128708
1m,1f,19.46655485999105
1m,5j,19.56238498515016
1m,1b,17.777862894261037
1m,1[,19.04465309293944
1m,3b,19.895829081073234
1m,1z,20.08536912416417
1m,5z,18.521995480005764
1m,7p,18.929091562860066
1m,1t,20.510528912999998
1m,5q,20.250304239584914
1m,1o,19.647452372263132
1m,7r,19.264375817351716
1m,2a,17.95075543364863
1m,4a,19.970505620652908
1m,0a,19.0644592479847
1m,#a,19.80100773725628
1m,4g,19.538256708818523
1m,6g,19.43530826270201
1m,8d,19.081261392221318
1m,4d,20.032733340173365
1m,6d,19.174123262820657
1m,2h,19.740883548898765
1m,4n,19.991006108617338
1m,0i,20.33127199541234
1m,6n,19.218099678561906
1m,6j,19.801174061648556
1m,2[,18.996604736514023
1m,4b,19.212342200683416
1m,0b,19.68937129274559
1m,4p,19.623567485932924
1m,6p,18.420668059283678
1m,4s,20.25682992063517
1m,2o,19.758476961646853
1L,1a,14.882714590159257
1L,1m,20.22241734369152
1L,1L,21.096080417160504
1L,&a,19.70676179639768
1L,7a,19.54108451150989
1L,3a,19.64846195370311
1L,9a,19.769581735390886
1L,1g,18.47962507663076
1L,7d,19.679490474036005
1L,3d,19.38776023280164
1L,5d,19.61017347404634
1L,1e,19.13661812583757
1L,1c,16.970317476232168
1L,1f,19.65619826442411
1L,5j,19.747721037836328
1L,1b,17.947607739696604
1L,1[,19.006108516345535
1L,3b,20.12744815354664
1L,1z,20.240628186578736
1L,5z,18.722110520111368
1L,7p,19.041058017799802
1L,1t,20.613007917767234
1L,5q,20.42494137581064
1L,1o,19.75351924599652
1L,7r,19.385783185944327
1L,2a,18.12505713310988
1L,4a,20.246020319495027
1L,0a,19.3290506017442
1L,#a,20.088931960575746
1L,4g,19.772848680298647
1L,6g,19.6201368341602
1L,8d,19.224851907071205
1L,4d,20.164786092200508
1L,6d,19.33280688320124
1L,2h,19.95542005446929
1L,4n,20.10417269143861
1L,0i,20.45348326500177
1L,6n,19.371467246249715
1L,6j,19.9790747110703
1L,2[,19.09721169563635
1L,4b,19.46397680243944
1L,0b,19.92010690732896
1L,4p,19.737528032880853
1L,6p,18.574808392174017
1L,4s,20.573085201233553
1L,2o,19.899824065384664
&a,1a,14.18853161359833
&a,1m,19.548725048274548
&a,1L,19.70676179639768
&a,&a,19.401382660775578
&a,7a,18.717810713025955
&a,3a,18.82810677925268
&a,9a,18.93788668600931
&a,1g,17.65655621664788
&a,7d,18.839482959668477
&a,3d,18.54993541096617
&a,5d,18.77467037995266
&a,1e,18.194291620080534
&a,1c,16.155139347567143
&a,1f,18.793539708025357
&a,5j,18.882601116525823
&a,1b,17.164743378117414
&a,1[,18.29571723669956
&a,3b,19.30415089916887
&a,1z,19.43916659771811
&a,5z,17.89019301524685
&a,7p,18.215541286554924
&a,1t,19.796947249789838
&a,5q,19.570328737809678
&a,1o,18.90296317428054
&a,7r,18.52849291588632
&a,2a,17.22399504167224
&a,4a,19.344442287686075
&a,0a,18.4748707017653
&a,#a,19.276266355275155
&a,4g,18.898121775216698
&a,6g,18.76496320354029
&a,8d,18.36602730932523
&a,4d,19.32675884748518
&a,6d,18.48523097343553
&a,2h,19.0225181826528
&a,4n,19.26819791450428
&a,0i,19.608050225594408
&a,6n,18.51305019930066
&a,6j,19.109805368546763
&a,2[,18.242302552881164
&a,4b,18.59724161770045
&a,0b,19.05258835722246
&a,4p,18.898615896015393
&a,6p,17.72508756801856
&a,4s,19.624683136341666
&a,2o,19.014512347440984
7a,1a,13.711663676882859
7a,1m,19.170236436944496
7a,1L,19.54108451150989
7a,&a,18.717810713025955
7a,7a,18.815115111702774
7a,3a,18.838117058986775
7a,9a,18.928791866388767
7a,1g,17.409451710938875
7a,7d,18.67036513304642
7a,3d,18.408243473141926
7a,5d,18.682084741560328
7a,1e,18.005452256696362
7a,1c,15.930647025663852
7a,1f,18.583318681415754
7a,5j,18.788810151982165
7a,1b,16.8475656857226
7a,1[,17.963509464888435
7a,3b,19.255484405643593
7a,1z,19.208241799090512
7a,5z,17.82280454959612
7a,7p,18.063256546657005
7a,1t,19.578210213028868
7a,5q,19.473498856230663
7a,1o,18.729566252027475
7a,7r,18.38103158053584
7a,2a,16.995008204212155
7a,4a,19.31648824934484
7a,0a,18.445838457505747
7a,#a,19.2351658259314
7a,4g,18.82281474456932
7a,6g,18.70711169823688
7a,8d,18.216666662432846
7a,4d,19.192554860940486
7a,6d,18.38915429787545
7a,2h,18.83234631268273
7a,4n,19.118318080835248
7a,0i,19.49776770007638
7a,6n,18.412649598291285
7a,6j,19.020687418924567
7a,2[,18.023735164323
7a,4b,18.549272860540928
7a,0b,19.01330217260697
7a,4p,18.756318008678992
7a,6p,17.6300991167748
7a,4s,19.549340906285053
7a,2o,18.85002815182723
3a,1a,13.813074542929327
3a,1m,19.358770393619142
3a,1L,19.64846195370311
3a,&a,18.82810677925268
3a,7a,18.838117058986775
3a,3a,19.429625824286173
3a,9a,19.468539019875642
3a,1g,17.68371964532092
3a,7d,19.014436283058856
3a,3d,18.781589512599307
3a,5d,19.112029898379568
3a,1e,18.264069900845836
3a,1c,16.23371643108423
3a,1f,18.874296894843273
3a,5j,19.19758721387077
3a,1b,17.02245865032477
3a,1[,18.16733864799137
3a,3b,19.676037621981163
3a,1z,19.49177771663332
3a,5z,18.294697712353233
3a,7p,18.429528155896048
3a,1t,19.88022909246858
3a,5q,19.885089592965823
3a,1o,19.037551105525708
3a,7r,18.729865935887176
3a,2a,17.207144836684606
3a,4a,19.710232088983854
3a,0a,18.911728522891934
3a,#a,19.70528068046218
3a,4g,19.23866810456012
3a,6g,19.164825235413044
3a,8d,18.571255977808523
3a,4d,19.57397499363864
3a,6d,18.806524793200047
3a,2h,19.087081359655517
3a,4n,19.48378127138437
3a,0i,19.90058776235416
3a,6n,18.821741197513987
3a,6j,19.430288837081
3a,2[,18.26900104086261
3a,4b,18.957762064388433
3a,0b,19.46919144500204
3a,4p,19.12504553541791
3a,6p,18.047982860448464
3a,4s,19.907467083202764
3a,2o,19.15438492871521
9a,1a,13.926461789995775
9a,1m,19.502563355760287
9a,1L,19.769581735390886
9a,&a,18.93788668600931
9a,7a,18.928791866388767
9a,3a,19.468539019875642
9a,9a,20.093275030282122
9a,1g,17.862540373155124
9a,7d,19.25154201459291
9a,3d,19.04350850160308
9a,5d,19.458113895400828
9a,1e,18.47517998447961
9a,1c,16.452992403931653
9a,1f,19.090583966245084
9a,5j,19.529350408990094
9a,1b,17.159927864774268
9a,1[,18.31121530580502
9a,3b,19.902353316043165
9a,1z,19.673708950972788
9a,5z,18.696635584495198
9a,7p,18.682602836075528
