,ag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.000365797964929914,a,a,0.029542097488921712,0.029542097488921712,14.95730738408041
1,ab,0.0004500058002198495,a,b,0.029542097488921712,0.029542097488921712,14.750128084622101
2,ac,0.0004691502906182951,a,c,0.029542097488921712,0.029542097488921712,14.708465390487882
3,ad,0.0004905503199879193,a,d,0.029542097488921712,0.029542097488921712,14.663860693767264
4,ae,0.0005429988187933864,a,e,0.029542097488921712,0.029542097488921712,14.562281412083736
5,af,0.0005590299852955489,a,f,0.029542097488921712,0.029542097488921712,14.53318544400632
6,ag,0.000704257766695153,a,g,0.029542097488921712,0.029542097488921712,14.302244121664046
7,ba,0.00045000580021984954,b,a,0.009847365829640572,0.009847365829640572,16.94735266195832
8,bb,0.00031942227883593885,b,b,0.009847365829640572,0.009847365829640572,17.290099148521133
9,bc,0.0004921049680683249,b,c,0.009847365829640572,0.009847365829640572,16.857921090548203
10,bd,0.0004911308733790699,b,d,0.009847365829640572,0.009847365829640572,16.859902497179007
11,be,0.0005851198497065335,b,e,0.009847365829640572,0.009847365829640572,16.684796436475242
12,bf,0.0005370377684065317,b,f,0.009847365829640572,0.009847365829640572,16.770544709753214
13,bg,0.0006440953846385095,b,g,0.009847365829640572,0.009847365829640572,16.588766306087606
14,ca,0.00046915029061829515,c,a,0.0298703430165764,0.0298703430165764,14.686365718114713
15,cb,0.0004921049680683248,c,b,0.0298703430165764,0.0298703430165764,14.638596840838813
16,cc,0.00043128490885350595,c,c,0.0298703430165764,0.0298703430165764,14.770519971172119
17,cd,0.0004490765377919337,c,d,0.0298703430165764,0.0298703430165764,14.730095548304277
18,ce,0.0004590445120089597,c,e,0.0298703430165764,0.0298703430165764,14.708141702894622
19,cf,0.00047576666546829887,c,f,0.0298703430165764,0.0298703430165764,14.672361348858873
20,cg,0.000612415432932014,c,g,0.0298703430165764,0.0298703430165764,14.419878020103575
21,da,0.000490550319987919,d,a,0.049565074675857544,0.049565074675857544,13.628920360797945
22,db,0.00049113087337907,d,b,0.049565074675857544,0.049565074675857544,13.627737586873469
23,dc,0.0004490765377919336,d,c,0.049565074675857544,0.049565074675857544,13.717254887708128
24,dd,0.00023461063842247876,d,d,0.049565074675857544,0.049565074675857544,14.366520941450906
25,de,0.0004620528749256238,d,e,0.049565074675857544,0.049565074675857544,13.688768891287484
26,df,0.0003826148034537112,d,f,0.049565074675857544,0.049565074675857544,13.877419475729592
27,dg,0.0004568214155934389,d,g,0.049565074675857544,0.049565074675857544,13.700155684696663
28,ea,0.0005429988187933863,e,a,0.866075824716888,0.866075824716888,7.805969047052821
29,eb,0.0005851198497065336,e,b,0.866075824716888,0.866075824716888,7.731259494108109
30,ec,0.0004590445120089598,e,c,0.866075824716888,0.866075824716888,7.973929010236877
31,ed,0.00046205287492562377,e,d,0.866075824716888,0.866075824716888,7.967396859225889
32,ee,0.0003310269754525332,e,e,0.866075824716888,0.866075824716888,8.300876322758103
33,ef,0.00041150395660052397,e,f,0.866075824716888,0.866075824716888,8.083257556510926
34,eg,0.0005695523734601137,e,g,0.866075824716888,0.866075824716888,7.7582254490576394
35,fa,0.0005590299852955491,f,a,0.01099622517643197,0.01099622517643197,16.50971390700481
36,fb,0.0005370377684065318,f,b,0.01099622517643197,0.01099622517643197,16.549848595415483
37,fc,0.00047576666546829887,f,c,0.01099622517643197,0.01099622517643197,16.67098948423053
38,fd,0.0003826148034537112,f,d,0.01099622517643197,0.01099622517643197,16.8888882716974
39,fe,0.0004115039566005241,f,e,0.01099622517643197,0.01099622517643197,16.81609838454033
40,ff,0.0002844233882201255,f,f,0.01099622517643197,0.01099622517643197,17.185453088070606
41,fg,0.0004414144988433199,f,g,0.01099622517643197,0.01099622517643197,16.745932678993984
42,ga,0.0007042577666951529,g,a,0.004103069095683571,0.004103069095683571,18.250406173708065
43,gb,0.0006440953846385095,g,b,0.004103069095683571,0.004103069095683571,18.339703780795407
44,gc,0.0006124154329320141,g,c,0.004103069095683571,0.004103069095683571,18.390139744520763
45,gd,0.0004568214155934389,g,d,0.004103069095683571,0.004103069095683571,18.68325806971
46,ge,0.0005695523734601136,g,e,0.004103069095683571,0.004103069095683571,18.462699866132574
47,gf,0.0004414144988433199,g,f,0.004103069095683571,0.004103069095683571,18.717566268039516
48,gg,0.0002864155775193593,g,g,0.004103069095683571,0.004103069095683571,19.15010678433761
