,dda_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.00035764114171793205,a,a,0.010175611357295255,0.010175611357295255,17.111503402142624
1,ab,0.00045110274639208236,a,b,0.010175611357295255,0.010175611357295255,16.87933835576404
2,ac,0.0005365553931546467,a,c,0.010175611357295255,0.010175611357295255,16.70586368250686
3,ad,0.0004538512017984741,a,d,0.010175611357295255,0.010175611357295255,16.873264093393853
4,ae,0.0004643708225433719,a,e,0.010175611357295255,0.010175611357295255,16.850350068808435
5,af,0.0005969496443984623,a,f,0.010175611357295255,0.010175611357295255,16.599200726277218
6,ag,0.00041269143590903475,a,g,0.010175611357295255,0.010175611357295255,16.968333303199227
7,ah,0.00047847841982473645,a,h,0.010175611357295255,0.010175611357295255,16.820422378129916
8,ai,0.0005566760086174035,a,i,0.010175611357295255,0.010175611357295255,16.669050089821773
9,aj,0.00042703116161556866,a,j,0.010175611357295255,0.010175611357295255,16.93417649978281
10,ak,0.0005837065069602504,a,k,0.010175611357295255,0.010175611357295255,16.621635188441648
11,ba,0.00045110274639208236,b,a,0.061217790907598886,0.061217790907598886,13.290450286566593
12,bb,0.00024543228532901255,b,b,0.061217790907598886,0.061217790907598886,13.899124333492434
13,bc,0.0003949186604038176,b,c,0.061217790907598886,0.061217790907598886,13.423465598505878
14,bd,0.0004693488819524254,b,d,0.061217790907598886,0.061217790907598886,13.250799042512515
15,be,0.0003787154293587077,b,e,0.061217790907598886,0.061217790907598886,13.4653603421365
16,bf,0.0004403743584486957,b,f,0.061217790907598886,0.061217790907598886,13.314520239342821
17,bg,0.0004732468253318832,b,g,0.061217790907598886,0.061217790907598886,13.242528337333043
18,bh,0.00048797979593816627,b,h,0.061217790907598886,0.061217790907598886,13.211871415943614
19,bi,0.00044802201412562945,b,i,0.061217790907598886,0.061217790907598886,13.297303049292632
20,bj,0.0005003199045862693,b,j,0.061217790907598886,0.061217790907598886,13.186897716169529
21,bk,0.0004757808995061095,b,k,0.061217790907598886,0.061217790907598886,13.237187966065777
22,ca,0.0005365553931546467,c,a,0.7912358444116198,0.7912358444116198,7.998659143785797
23,cb,0.0003949186604038176,c,b,0.7912358444116198,0.7912358444116198,8.305149128982265
24,cc,0.0002929724464991016,c,c,0.7912358444116198,0.7912358444116198,8.603750384307132
25,cd,0.0005864075888633854,c,d,0.7912358444116198,0.7912358444116198,7.909813857716253
26,ce,0.00042480613445011615,c,e,0.7912358444116198,0.7912358444116198,8.232196039030615
27,cf,0.0003807241218480035,c,f,0.7912358444116198,0.7912358444116198,8.341753926440623
28,cg,0.0005609064158818179,c,g,0.7912358444116198,0.7912358444116198,7.954274874652711
29,ch,0.00044521156262961384,c,h,0.7912358444116198,0.7912358444116198,8.185279358821258
30,ci,0.00035988265505094996,c,i,0.7912358444116198,0.7912358444116198,8.398050929527587
31,cj,0.0005680006260307437,c,j,0.7912358444116198,0.7912358444116198,7.941706428762672
32,ck,0.0004241227181074384,c,k,0.7912358444116198,0.7912358444116198,8.233806106796022
33,da,0.0004538512017984741,d,a,0.0080420154275398,0.0080420154275398,17.343892267262785
34,db,0.0004693488819524254,d,b,0.0080420154275398,0.0080420154275398,17.31031528557889
35,dc,0.0005864075888633852,d,c,0.0080420154275398,0.0080420154275398,17.087646570306244
36,dd,0.0004146619156577442,d,d,0.0080420154275398,0.0080420154275398,17.43419813509165
37,de,0.000491508474410751,d,e,0.0080420154275398,0.0080420154275398,17.264182480867042
38,df,0.000606181838242489,d,f,0.0080420154275398,0.0080420154275398,17.05448165807421
39,dg,0.00046089097819428164,d,g,0.0080420154275398,0.0080420154275398,17.328500137028662
40,dh,0.0005587620339904267,d,h,0.0080420154275398,0.0080420154275398,17.13593797920111
41,di,0.0006064115229651306,d,i,0.0080420154275398,0.0080420154275398,17.054102825841184
42,dj,0.0004810840544169917,d,j,0.0080420154275398,0.0080420154275398,17.285619658093456
43,dk,0.0005965515379571591,d,k,0.0080420154275398,0.0080420154275398,17.0704960238356
44,ea,0.0004643708225433719,e,a,0.010011488593467914,0.010011488593467914,16.882871110551996
45,eb,0.0003787154293587078,e,b,0.010011488593467914,0.010011488593467914,17.08676945307751
46,ec,0.00042480613445011615,e,c,0.010011488593467914,0.010011488593467914,16.971921619495237
47,ed,0.000491508474410751,e,d,0.010011488593467914,0.010011488593467914,16.82607534874167
48,ee,0.00036115862374905885,e,e,0.010011488593467914,0.010011488593467914,17.134237267323172
49,ef,0.0004556322070633716,e,f,0.010011488593467914,0.010011488593467914,16.901868609505087
