,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.0003230135950388384,a,a,0.008206138191367143,0.008206138191367143,17.643561835364544
1,ab,0.00043700788152911354,a,b,0.008206138191367143,0.008206138191367143,17.34130501713629
2,ac,0.00038459184029675464,a,c,0.008206138191367143,0.008206138191367143,17.469073630752437
3,ad,0.00045922529916661033,a,d,0.008206138191367143,0.008206138191367143,17.29171531011329
4,ae,0.0005230959911279453,a,e,0.008206138191367143,0.008206138191367143,17.161491260939773
5,af,0.0005115526840815835,a,f,0.008206138191367143,0.008206138191367143,17.18380566833536
6,ag,0.00037044041453564765,a,g,0.008206138191367143,0.008206138191367143,17.506563640267657
7,ah,0.00044333065058344896,a,h,0.008206138191367143,0.008206138191367143,17.32694036639112
8,ai,0.0005747544801349146,a,i,0.008206138191367143,0.008206138191367143,17.06731328906398
9,aj,0.00042973588444981617,a,j,0.008206138191367143,0.008206138191367143,17.358085449838832
10,ak,0.0004994671188994574,a,k,0.008206138191367143,0.008206138191367143,17.207714479712237
11,al,0.0005389940177994022,a,l,0.008206138191367143,0.008206138191367143,17.13155177545997
12,am,0.000719902463648234,a,m,0.008206138191367143,0.008206138191367143,16.842140511926605
13,an,0.00037243056709710906,a,n,0.008206138191367143,0.008206138191367143,17.501205624214187
14,ao,0.00045088871330779156,a,o,0.008206138191367143,0.008206138191367143,17.310035693966515
15,ap,0.0004704381150470529,a,p,0.008206138191367143,0.008206138191367143,17.267591827417313
16,aq,0.0005351803231562216,a,q,0.008206138191367143,0.008206138191367143,17.138652504869988
17,ar,0.000587676005770317,a,r,0.008206138191367143,0.008206138191367143,17.045080462163167
18,as,0.00041111576358160277,a,s,0.008206138191367143,0.008206138191367143,17.402381409552795
19,at,0.0005546809687066167,a,t,0.008206138191367143,0.008206138191367143,17.10286313029656
20,au,0.0005519365854396054,a,u,0.008206138191367143,0.008206138191367143,17.107823089377245
21,av,0.0006860593746052207,a,v,0.008206138191367143,0.008206138191367143,16.89029207172183
22,ba,0.00043700788152911354,b,a,0.0019694731659281144,0.0019694731659281144,20.195537728416582
23,bb,0.0001930886229626862,b,b,0.0019694731659281144,0.0019694731659281144,21.012339689039
24,bc,0.000516422604889897,b,c,0.0019694731659281144,0.0019694731659281144,20.028563526878
25,bd,0.0004938415179625829,b,d,0.0019694731659281144,0.0019694731659281144,20.073274307010035
26,be,0.0005907624919312206,b,e,0.0019694731659281144,0.0019694731659281144,19.894074897157395
27,bf,0.0005147612714985467,b,f,0.0019694731659281144,0.0019694731659281144,20.031785716182526
28,bg,0.0005052990183545641,b,g,0.0019694731659281144,0.0019694731659281144,20.050338589287556
29,bh,0.0002666124721532596,b,h,0.0019694731659281144,0.0019694731659281144,20.68969276996462
30,bi,0.0005087262953118311,b,i,0.0019694731659281144,0.0019694731659281144,20.043578817195648
